Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,0.5,0.5,0.5,0.75,0.5,0.5,0.46,0.46,0.77,1.02,0.98,1.09,1.21,1.21,1.17,1.55,2.01,2.01,2.26,2.69,2.5,3.34,3.72,4.07,2.67,3.17
Austria,1.17,1.42,1.42,1.48,1.48,1.94,1.94,1.85,1.94,1.85,2.02,2.2,2.2,2.48,2.4,2.86,2.82,2.44,2.91,3.33,3.33,3.08,2.95,..,..,..
Belgium,0.67,0.67,0.71,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.85,1.1,1.21,1.17,1.98,2.45,2.4,2.2,2.34,2.58,2.6,2.53,2.47,..,..,..
Canada,0.38,0.38,0.71,0.5,0.5,0.5,0.46,0.65,0.65,0.65,0.9,0.9,0.9,1.58,1.58,1.54,2.17,3.27,3.31,3.85,3.35,3.67,3.42,3.36,3.28,3.28
Czech Republic,0.54,0.54,0.54,0.54,0.54,0.73,0.73,0.69,0.69,0.69,0.83,0.83,1.58,1.58,1.63,2.05,2.88,2.55,2.72,2.89,2.89,2.37,2.38,..,..,..
Denmark,0.9,1.58,2.13,2.23,2.23,1.98,1.98,1.98,2.56,2.4,2.6,2.74,2.11,2.09,2.59,3.13,3.16,2.83,2.96,4.07,4.03,3.98,3.85,..,..,..
Finland,0.83,1,1.25,1.31,1.27,1.27,1.52,1.77,1.52,1.52,1.6,1.35,1.98,2.48,2.48,2.44,3.15,2.82,3.08,3.25,3.21,3.48,3.43,..,..,..
France,0.71,0.71,0.71,0.77,0.81,0.81,1.23,1.15,1.23,1.31,1.4,1.56,1.56,1.56,2.13,2.71,3.28,2.86,2.9,3.69,3.15,3.7,3.57,3.5,3.54,3.58
Germany,1.21,2.13,1.88,1.94,1.9,1.81,1.85,1.94,1.98,1.98,2.06,2.06,2.54,2.54,2.67,3.05,3,2.67,2.64,3.06,3.02,3.14,2.92,3.11,3.07,3.13
Greece,0.65,0.73,0.77,1.02,1.48,1.73,1.69,1.69,1.69,1.69,1.52,1.52,1.77,1.77,1.73,1.84,1.84,1.92,1.83,2.08,2.33,2.33,2.13,..,..,..
Hungary,0.35,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.56,0.52,0.85,1.69,1.98,2.13,2.33,2.63,2.59,2.3,2.55,2.66,2.77,2.68,2.63,..,..,..
Ireland,0.52,0.48,0.52,0.58,0.58,0.58,0.73,0.73,0.77,0.77,0.85,0.81,0.85,1.42,1.46,1.88,2.23,1.71,2.05,2.16,2.22,2.43,2.05,..,..,..
Italy,0.96,1,1.42,1.48,1.48,1.48,1.48,1.56,1.56,1.56,1.48,1.35,1.35,1.42,1.49,2.22,2.72,2.34,2.6,2.73,2.84,2.79,2.77,3.21,3.21,3.28
Japan,1.13,1.13,1.13,1.13,1.23,1.31,1.33,1.33,1.33,1.52,1.58,1.58,1.58,1.65,1.9,1.67,1.63,1.69,1.69,1.73,2.03,2.96,3.5,3.08,3.08,3.17
Korea,0.5,0.63,0.63,0.69,0.69,0.69,0.75,0.75,0.75,0.81,0.81,1.1,1.1,2.02,2.33,2.9,2.96,2.96,3.38,3.52,3.52,3.44,2.63,2.7,2.74,3.07
Netherlands,1.67,1.42,1.17,1.23,1.27,1.27,1.23,1.52,1.56,1.52,1.35,1.74,1.78,2.2,1.9,2.8,2.8,2.64,3.23,3.69,4.13,3.51,3.63,..,..,..
