country,1990_emissions,1991_emissions,1992_emissions,1993_emissions,1994_emissions,1995_emissions,1996_emissions,1997_emissions,1998_emissions,1999_emissions,2000_emissions,2001_emissions,2002_emissions,2003_emissions,2004_emissions,2005_emissions,2006_emissions,2007_emissions,2008_emissions,2009_emissions,2010_emissions,2011_emissions,2012_emissions,2013_emissions,2014_emissions,2015_emissions,2016_emissions,2017_emissions,1990_stringency,1991_stringency,1992_stringency,1993_stringency,1994_stringency,1995_stringency,1996_stringency,1997_stringency,1998_stringency,1999_stringency,2000_stringency,2001_stringency,2002_stringency,2003_stringency,2004_stringency,2005_stringency,2006_stringency,2007_stringency,2008_stringency,2009_stringency,2010_stringency,2011_stringency,2012_stringency,2013_stringency,2014_stringency,2015_stringency,Mammals_threatened,Birds_threatened,Reptiles_threatened,Amphibians_threatened,Fish_threatened,Marine Fish_threatened,Freshwater Fish_threatened,Vascular plants_threatened,Mosses_threatened,Lichens_threatened,Invertebrates_threatened,total_threatened,Mammals_endangered,Birds_endangered,Reptiles_endangered,Amphibians_endangered,Fish_endangered,Marine Fish_endangered,Freshwater Fish_endangered,Vascular plants_endangered,Mosses_endangered,Lichens_endangered,Invertebrates_endangered,total_endangered,1990_land_use,1991_land_use,1992_land_use,1993_land_use,1994_land_use,1995_land_use,1996_land_use,1997_land_use,1998_land_use,1999_land_use,2000_land_use,2001_land_use,2002_land_use,2003_land_use,2004_land_use,2005_land_use,2006_land_use,2007_land_use,2008_land_use,2009_land_use,2010_land_use,2011_land_use,2012_land_use,2013_land_use,2014_land_use,2015_land_use,2016_land_use,total_land_use,1990_particulates,1995_particulates,2000_particulates,2005_particulates,2006_particulates,2007_particulates,2008_particulates,2009_particulates,2010_particulates,2011_particulates,2012_particulates,2013_particulates,2014_particulates,2015_particulates,2016_particulates,2017_particulates,1990_lead,1995_lead,2000_lead,2005_lead,2006_lead,2007_lead,2008_lead,2009_lead,2010_lead,2011_lead,2012_lead,2013_lead,2014_lead,2015_lead,2016_lead,2017_lead,Mammals_percent_species,Birds_percent_species,Reptiles_percent_species,Amphibians_percent_species,Fish_percent_species,Marine Fish_percent_species,Freshwater Fish_percent_species,Vascular plants_percent_species,Mosses_percent_species,Lichens_percent_species,Invertebrates_percent_species,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population
Australia,420315,421381,425702,426232,426305,434913,442506,454629,468406,474027,485019,492462,496319,498119,515931,521801,526437,533138,537032,540913,537275,538281,540616,530434,524957,535174,546772,554127,0.5,0.5,0.5,0.75,0.5,0.5,0.46,0.46,0.77,1.02,0.98,1.09,1.21,1.21,1.17,1.55,2.01,2.01,2.26,2.69,2.5,3.34,3.72,4.07,2.67,3.17,109,133,61,29,48,13,35,"1,262",1,,61,429,37,51,18,14,16,2,14,527,,,22,152,"7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00",0,5114,5142,5028,4686,4705,4856,4907,4862,4810,5029,4772,4589,4540,4570,4389,4574,2261,2291,2220,2083,2078,2124,2132,2087,2043,2047,2000,1985,2031,2078,2134,2203,27,17,6,12,1,,,7,0,,0,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992860
Austria,78670,82349,75750,75932,76207,79584,82875,82405,81702,80105,80415,84324,86111,91788,91383,92567,90117,87473,86816,80329,84753,82460,79811,80353,76680,78897,79596,82261,1.17,1.42,1.42,1.48,1.48,1.94,1.94,1.85,1.94,1.85,2.02,2.2,2.2,2.48,2.4,2.86,2.82,2.44,2.91,3.33,3.33,3.08,2.95,4.07,2.67,3.17,27,66,9,12,39,13,39,985,238,443,968,873,6,14,3,3,18,2,18,348,69,135,310,266,"83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00",0,3975,3876,3683,3510,3410,3416,3356,3420,3362,3392,3248,3217,3137,3203,3060,3070,656,688,684,608,588,591,584,592,589,594,595,589,589,596,590,590,27,27,64,60,46,,46,33,23,21,2,8225278,8267948,8295189,8321541,8341483,8361069,8388534,8426311,8477230,8543932,8629519,8739806,8795073,8837707
Belgium,146587,149324,148920,147890,152523,154665,158303,149782,154957,148645,149730,148132,147567,147932,149231,145284,142660,138961,138828,126263,132922,122198,119373,119304,113506,117122,115783,114540,0.67,0.67,0.71,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.85,1.1,1.21,1.17,1.98,2.45,2.4,2.2,2.34,2.58,2.6,2.53,2.47,4.07,2.67,3.17,18,55,4,6,29,14,15,423,140,495,566,776,2,15,2,3,4,3,1,107,69,135,201,30,"83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00",0,5965,5630,5490,5116,4945,5010,5077,5064,4997,4965,4852,4696,4388,4555,4363,4419,2265,2142,2131,1925,1841,1841,1840,1810,1766,1770,1783,1769,1702,1734,1712,1722,21,28,40,32,20,14,35,23,27,59,11,10478617,10547956,10625701,10709976,10796498,10895589,10993616,11067748,11125033,11179778,11238474,11295003,11349081,11403740
Canada,602184,593402,610441,612264,633675,651011,672053,686988,694531,707376,730588,719733,724349,741003,742972,730349,721445,743767,723225,681699,692619,703379,711023,722063,723091,721992,707727,715749,0.38,0.38,0.71,0.5,0.5,0.5,0.46,0.65,0.65,0.65,0.9,0.9,0.9,1.58,1.58,1.54,2.17,3.27,3.31,3.85,3.35,3.67,3.42,3.36,3.28,3.28,52,88,26,16,88,52,36,"1,107",294,184,"1,265",836,10,14,6,5,25,11,14,325,85,51,295,221,"9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00",0,7262,7753,8017,8132,8087,8223,8254,8093,7855,7952,7696,7386,7332,7254,6626,6618,1371,1414,1360,1260,1227,1231,1226,1201,1176,1161,1179,1168,1202,1237,1251,1272,24,13,58,34,6,4,22,21,21,21,6,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856
Chile,52016,50681,52579,55432,58349,61452,67715,75203,76151,79279,76587,74732,76179,76956,82609,84334,85555,93656,94262,90887,91862,99861,104492,104304,101474,108243,111678,715749,0.38,0.38,0.71,0.5,0.5,0.5,0.46,0.65,0.65,0.65,0.9,0.9,0.9,1.58,1.58,1.54,2.17,3.27,3.31,3.85,3.35,3.67,3.42,3.36,3.28,3.28,36,45,52,44,38,1,37,418,294,184,114,253,13,21,17,23,23,11,23,195,85,51,61,120,"756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,700.00",0,3378,3596,3582,3784,3841,3965,3930,4201,4390,4511,4443,4498,4445,4546,4524,4758,235,237,248,271,270,274,269,284,293,290,294,300,301,308,315,327,21,9,40,68,6,4,22,21,21,21,1,16183489,16347890,16517933,16697754,16881078,17063927,17254159,17443491,17611902,17787617,17971423,18167147,18419192,18751405
Czech Republic,197393,179182,172687,165018,157518,156718,159770,155160,148998,139448,149334,149097,145506,148759,149625,147494,148599,150337,145614,137215,139734,137753,133698,128691,126758,127778,129757,128675,0.54,0.54,0.54,0.54,0.54,0.73,0.73,0.69,0.69,0.69,0.83,0.83,1.58,1.58,1.63,2.05,2.88,2.55,2.72,2.89,2.89,2.37,2.38,3.36,3.28,3.28,15,99,7,16,25,1,25,908,251,560,"5,379",998,1,28,3,5,2,11,2,412,88,184,"1,706",313,"127,900.00","127,900.00","127,900.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00",0,9153,7646,6560,6210,6041,6075,6173,6219,6255,6272,6144,6090,5903,6065,5863,5878,976,916,860,782,742,725,719,711,710,706,700,694,674,684,680,682,16,47,54,73,38,4,38,26,29,37,16,10234092,10266646,10322689,10429692,10491492,10517247,10496672,10509286,10510719,10524783,10542942,10565284,10589526,10626430
Denmark,70515,81146,75165,77370,81267,78332,91500,82058,78077,75672,71368,73066,72590,77645,71511,67091,74859,70293,66657,63876,64178,58947,54335,56021,51871,49254,51298,49226,0.9,1.58,2.13,2.23,2.23,1.98,1.98,1.98,2.56,2.4,2.6,2.74,2.11,2.09,2.59,3.13,3.16,2.83,2.96,4.07,4.03,3.98,3.85,3.36,3.28,3.28,11,34,7,1,25,1,8,117,251,299,524,353,1,13,3,5,2,11,2,36,88,57,156,71,"43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","42,920.00","42,920.00","42,920.00","42,920.00","42,920.00",0,3234,3078,2659,2402,2432,2441,2369,2370,2331,2335,2130,2082,2076,2032,2007,2049,493,484,401,346,342,336,318,311,300,283,275,270,262,260,267,272,16,16,54,7,38,4,15,4,29,44,14,5415978,5434567,5457415,5489022,5519441,5543819,5566856,5587085,5608784,5639719,5678348,5724456,5760694,5789957
Estonia,40432,37284,27292,21351,22059,20259,20960,20585,18996,17652,17360,17760,17221,19110,19375,19203,18498,22225,20046,16758,21214,21259,20171,21942,21147,18127,19665,20880,0.9,1.58,2.13,2.23,2.23,1.98,1.98,1.98,2.56,2.4,2.6,2.74,2.11,2.09,2.59,3.13,3.16,2.83,2.96,4.07,4.03,3.98,3.85,3.36,3.28,3.28,2,38,1,4,6,2,5,181,131,113,19,302,1,8,3,1,1,11,2,59,21,32,2,64,"43,090.00","43,090.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,340.00","45,340.00","45,340.00","45,340.00",0,564,624,537,509,506,507,474,453,419,407,376,353,363,319,319,320,64,74,70,71,71,73,70,70,67,66,67,66,67,65,65,65,3,10,50,44,7,3,12,9,34,24,3,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1314608,1315790,1317384,1321977
Finland,71133,68905,67468,69728,75346,71788,77675,76256,72566,71981,70130,75490,77947,85532,81841,69813,81174,79513,71399,67804,75627,67805,62415,62894,58733,55123,58044,55334,0.83,1,1.25,1.31,1.27,1.27,1.52,1.77,1.52,1.52,1.6,1.35,1.98,2.48,2.48,2.44,3.15,2.82,3.08,3.25,3.21,3.48,3.43,3.36,3.28,3.28,7,87,1,1,6,2,12,197,183,268,"1,255",559,4,36,0,1,1,11,3,88,70,81,393,195,"338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,440.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,446.00","338,450.00",0,1788,1621,1497,1330,1307,1318,1307,1297,1286,1275,1137,1063,1076,990,978,1008,136,130,125,115,114,115,114,114,114,112,111,111,109,108,111,113,9,35,20,14,7,3,17,16,21,17,5,5246100,5266266,5288719,5313398,5338867,5363341,5388272,5413967,5438975,5461507,5479528,5495297,5508209,5515525
France,551049,578336,566697,545037,538664,546758,564087,556744,570619,562661,556370,561355,554879,559544,557794,559499,547093,536948,530315,510351,517116,491009,490856,491141,461479,466385,467622,471028,0.71,0.71,0.71,0.77,0.81,0.81,1.23,1.15,1.23,1.31,1.4,1.56,1.56,1.56,2.13,2.71,3.28,2.86,2.9,3.69,3.15,3.7,3.57,3.5,3.54,3.58,17,107,9,8,15,2,15,528,183,268,219,171,4,33,3,3,2,11,2,111,70,81,22,47,"549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,087.00","549,087.00","549,087.00","549,387.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00",0,20430,19764,19319,18643,18487,18478,18796,19124,19034,19133,18543,18235,16893,17606,16852,17101,7485,7280,7157,6527,6406,6322,6363,6375,6270,6235,6235,6143,6020,6119,6113,6195,14,27,24,23,22,3,22,52,21,17,21,62958328,63393406,63781275,64133174,64458715,64773169,65087317,65402998,65735961,66276671,66512558,66685530,66829563,66941698
