,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,5,16,10,5,8,3,5,148,..,..,28
Austria,4,33,3,1,6,..,6,172,34,57,302
Belgium,4,20,..,3,3,2,1,253,..,..,135
Canada,11,26,5,2,9,3,6,315,75,70,205
Chile,3,2,10,10,1,..,1,71,..,..,32
Czech Republic,10,35,3,5,15,..,15,284,70,130,"1,420"
Denmark,..,8,..,1,..,..,2,24,..,143,96
Estonia,..,8,..,1,4,2,4,31,11,13,7
Finland,1,13,0,0,..,..,4,31,37,63,123
France,3,16,0,0,4,..,4,49,..,..,18
Germany,8,30,4,0,12,4,8,118,28,306,559
Greece,3,14,1,1,19,5,14,17,..,..,..
Hungary,5,20,..,..,..,..,..,115,20,24,9
Iceland,..,6,..,..,..,..,..,..,..,..,..
Ireland,..,..,..,..,..,6,1,20,19,..,27
Italy,2,6,1,0,21,10,11,128,..,..,88
Japan,12,23,5,4,79,8,71,525,..,..,..
Korea,1,1,..,..,4,..,4,28,..,..,24
Latvia,0,4,1,1,1,1,..,16,3,2,7
Lithuania,..,19,..,..,3,1,2,23,9,24,13
Luxembourg,..,7,0,2,3,..,3,121,..,..,7
Mexico,11,19,0,0,13,..,12,6,..,..,..
Netherlands,2,9,1,2,4,3,1,71,52,49,25
New Zealand,..,..,..,..,..,..,..,..,14,6,133
Norway,5,6,..,1,1,1,..,35,22,45,92
Poland,2,16,1,..,7,..,5,123,..,179,152
Portugal,11,20,..,..,8,..,..,..,..,..,..
Slovak Republic,2,10,1,..,..,..,..,155,95,140,199
Slovenia,..,17,..,..,..,..,..,..,..,..,..
Spain,2,18,8,2,..,..,10,271,46,..,18
Sweden,5,6,..,..,6,6,..,43,..,..,..
Switzerland,5,9,3,0,6,..,6,111,61,45,229
United Kingdom,2,27,..,..,..,..,..,104,23,45,90
United States,13,36,8,31,..,..,99,"1,222",..,..,..
  Brazil,12,42,10,18,135,34,101,..,..,..,101
  Colombia,7,17,11,14,4,6,7,112,8,..,6
  Costa Rica,..,1,5,24,..,2,..,8,..,..,..
