,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,5,16,10,5,8,3,5,148,..,..,28
Austria,4,33,3,1,6,..,6,172,34,57,302
Belgium,4,20,..,3,3,2,1,253,..,..,135
Canada,11,26,5,2,9,3,6,315,75,70,205
Chile,3,2,10,10,1,..,1,71,..,..,32
Denmark,..,8,..,1,..,..,2,24,..,..,..
Estonia,..,8,..,1,4,2,4,31,11,13,7
Finland,1,13,..,..,..,..,4,31,37,63,123
France,..,16,..,..,..,..,..,..,..,..,..
Germany,8,30,4,0,12,4,8,118,28,306,559
Greece,3,14,1,1,19,5,14,..,..,..,..
Hungary,5,20,..,..,..,..,..,115,20,24,9
Ireland,..,..,..,..,..,6,1,20,..,..,27
Israel,15,21,13,2,6,..,6,62,..,..,..
Latvia,0,4,1,1,1,1,..,16,3,2,7
Lithuania,..,19,..,..,3,1,2,23,9,24,13
Luxembourg,..,..,..,..,3,..,3,121,..,..,..
Mexico,8,13,0,0,8,..,8,5,..,..,..
Netherlands,2,9,1,2,4,3,1,71,52,49,25
New Zealand,6,20,8,0,4,..,4,163,14,6,133
Norway,5,6,..,1,1,1,..,35,22,45,92
Poland,2,16,1,..,7,..,5,110,..,179,152
Portugal,11,20,..,..,8,..,..,..,..,..,..
Slovak Republic,2,10,1,..,..,..,..,..,..,..,..
Slovenia,..,17,..,..,..,..,..,..,..,..,..
Spain,2,18,8,2,..,..,10,271,46,..,18
Sweden,5,6,..,..,6,6,..,43,..,..,..
Switzerland,5,9,3,0,6,..,6,111,61,45,229
United Kingdom,2,27,..,..,7,..,..,104,23,45,90
United States,13,35,8,31,..,..,98,"1,221",..,..,..
