Species,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,37,51,18,14,16,2,14,527,..,..,22
Austria,6,14,3,3,18,..,18,348,69,135,310
Belgium,2,15,2,3,4,3,1,107,..,..,201
Canada,10,14,6,5,25,11,14,325,85,51,295
Chile,13,21,17,23,23,..,23,195,..,..,61
Denmark,1,13,..,..,..,..,..,36,..,..,..
Estonia,1,8,..,1,1,..,..,57,21,32,2
Finland,4,36,..,1,..,..,3,88,70,81,393
France,..,30,..,..,..,..,..,..,..,..,..
Germany,9,24,3,2,14,5,9,273,104,165,"1,011"
Greece,13,17,2,2,16,4,12,..,..,..,..
Hungary,3,23,4,1,..,..,..,162,90,44,7
Ireland,..,..,0,1,..,5,..,25,..,..,51
Israel,27,13,7,3,0,..,0,117,..,..,..
Latvia,3,19,1,1,0,0,0,110,41,18,38
Lithuania,3,17,1,1,0,0,0,66,13,16,54
Luxembourg,..,..,..,..,1,..,1,124,..,..,..
Mexico,24,40,17,6,74,1,69,105,..,..,12
Netherlands,3,12,0,2,5,3,2,117,27,42,18
New Zealand,2,13,8,0,6,..,6,64,4,2,62
Norway,5,15,..,..,4,4,..,100,61,73,452
Poland,10,8,1,..,15,9,5,123,52,201,358
Portugal,7,30,4,..,10,..,..,..,..,..,..
Slovak Republic,6,24,..,3,..,..,6,..,..,..,..
Slovenia,19,43,7,3,40,9,31,80,..,..,..
Spain,4,33,10,4,..,..,10,278,52,..,52
Sweden,3,11,..,0,6,6,1,114,..,..,..
Switzerland,13,21,7,9,5,..,5,197,58,96,358
United Kingdom,4,50,..,..,11,..,1,240,37,34,380
United States,16,23,20,36,..,..,71,"1,461",..,..,..
