Time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992860
Austria,8225278,8267948,8295189,8321541,8341483,8361069,8388534,8426311,8477230,8543932,8629519,8739806,8795073,8837707
Belgium,10478617,10547956,10625701,10709976,10796498,10895589,10993616,11067748,11125033,11179778,11238474,11295003,11349081,11403740
Canada,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856
Chile,16183489,16347890,16517933,16697754,16881078,17063927,17254159,17443491,17611902,17787617,17971423,18167147,18419192,18751405
Czech Republic,10234092,10266646,10322689,10429692,10491492,10517247,10496672,10509286,10510719,10524783,10542942,10565284,10589526,10626430
Denmark,5415978,5434567,5457415,5489022,5519441,5543819,5566856,5587085,5608784,5639719,5678348,5724456,5760694,5789957
Estonia,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1314608,1315790,1317384,1321977
Finland,5246100,5266266,5288719,5313398,5338867,5363341,5388272,5413967,5438975,5461507,5479528,5495297,5508209,5515525
France,62958328,63393406,63781275,64133174,64458715,64773169,65087317,65402998,65735961,66276671,66512558,66685530,66829563,66941698
Germany,82469421,82376447,82266373,82110097,81902308,81776936,80274981,80425826,80645605,80982495,81686608,82348669,82656997,82914191
Greece,10987316,11020366,11048466,11077839,11107017,11121344,11104900,11045010,10965209,10892415,10820883,10775971,10754679,10725886
Hungary,10087064,10071374,10055778,10038186,10022647,10000020,9958824,9920364,9893083,9866466,9843025,9814026,9787969,9767600
Iceland,296734,303784,311567,317404,318501,318044,319011,320723,323763,327379,330818,335435,343399,352722
Ireland,4133839,4232929,4375842,4485070,4533395,4554763,4574888,4593697,4614669,4645440,4687787,4739597,4792490,4857015
Israel,6930128,7053707,7180115,7308795,7485565,7623561,7765832,7910525,8059456,8215668,8380149,8546009,8713300,8872943
Italy,57969482,58143980,58438309,58826733,59095367,59277414,59379446,59539725,60233944,60789144,60730585,60627494,60536713,60421797
Japan,127767994,127900515,128032743,128083960,128031514,128057352,127834233,127592657,127413888,127237150,127094745,126932772,126706210,126443180
Korea,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51446201,51635256
Latvia,2238799,2218351,2200325,2177324,2141668,2097553,2059710,2034324,2012647,1993785,1977523,1959535,1942247,1927170
Lithuania,3322525,3269903,3231297,3198234,3162911,3097292,3028119,2987773,2957689,2932366,2904908,2868234,2828398,2801541
Luxembourg,465152,472641,479992,488647,497783,506953,518351,530952,543358,556322,569605,583459,596337,607950
Mexico,105669369,107155391,108744845,110405454,112095388,113748671,115367452,116935670,118453929,119936411,121347800,122715165,124041731,125327797
Netherlands,16319871,16346096,16381696,16445590,16530387,16615390,16693074,16754963,16804430,16865008,16939925,17030314,17131295,17231622
New Zealand,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4885500
Norway,4623293,4660673,4709156,4768215,4828716,4889253,4953089,5018574,5080171,5137427,5189898,5236152,5276965,5311916
Poland,38161313,38132277,38115967,38115909,38153389,38516689,38525670,38533789,38502396,38483957,38454576,38426809,38422346,38413139
Portugal,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822
Slovak Republic,5387285,5391184,5397766,5406972,5418374,5431024,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771
Slovenia,2001114,2008516,2019406,2022629,2042335,2049261,2052496,2056262,2059114,2061623,2063077,2064241,2066161,2070050
Spain,43662613,44360521,45236004,45983169,46367550,46562483,46736257,46766403,46593236,46455123,46410149,46449874,46532869,46733038
Sweden,9029567,9080506,9148093,9219639,9298510,9378130,9449216,9519378,9600375,9696105,9799183,9923085,10057695,10175214
Switzerland,7437116,7483935,7551117,7647676,7743832,7824910,7912396,7996861,8089346,8188646,8282398,8373334,8451834,8513227
Turkey,68435380,69295253,70158112,71051689,72039215,73142162,74223642,75175836,76147634,77181894,78218488,79277971,80312708,81407211
United Kingdom,60413276,60827067,61319075,61823772,62260486,62759456,63285145,63705030,64105654,64596752,65110034,65648054,66040229,66435550
United States,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
European Union (28 countries),495497820,497262107,499283942,501249177,502722092,504286223,503891769,504985115,506412977,508243486,509672282,511152390,512151635,513179223
