Year,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,5114,5142,5028,4686,4705,4856,4907,4862,4810,5029,4772,4589,4540,4570,4389,4574
Austria,3975,3876,3683,3510,3410,3416,3356,3420,3362,3392,3248,3217,3137,3203,3060,3070
Belgium,5965,5630,5490,5116,4945,5010,5077,5064,4997,4965,4852,4696,4388,4555,4363,4419
Canada,7262,7753,8017,8132,8087,8223,8254,8093,7855,7952,7696,7386,7332,7254,6626,6618
Chile,3378,3596,3582,3784,3841,3965,3930,4201,4390,4511,4443,4498,4445,4546,4524,4758
Czech Republic,9153,7646,6560,6210,6041,6075,6173,6219,6255,6272,6144,6090,5903,6065,5863,5878
Denmark,3234,3078,2659,2402,2432,2441,2369,2370,2331,2335,2130,2082,2076,2032,2007,2049
Estonia,564,624,537,509,506,507,474,453,419,407,376,353,363,319,319,320
Finland,1788,1621,1497,1330,1307,1318,1307,1297,1286,1275,1137,1063,1076,990,978,1008
France,20430,19764,19319,18643,18487,18478,18796,19124,19034,19133,18543,18235,16893,17606,16852,17101
Germany,51564,46684,41632,37947,37303,37277,37723,38519,38771,38027,36441,36871,35571,37398,37089,36953
Greece,5291,5476,5837,6082,6017,6284,6201,6121,6091,6432,6363,6061,5980,6210,6083,6201
Hungary,6266,6488,6156,6641,6561,6659,6530,6587,6493,6488,6123,5900,5654,6186,5634,5588
Iceland,64,64,58,55,56,56,56,57,56,57,52,52,50,51,48,49
Ireland,1619,1610,1495,1194,1180,1141,1139,1149,1051,1107,1072,1059,1001,1008,980,999
Israel,1922,2197,2387,2272,2256,2289,2235,2191,2203,2286,2253,2275,2256,2376,2287,2365
Italy,28880,28179,27582,26771,26716,26929,27180,27371,26789,28059,27095,26479,26197,27455,25745,25896
Japan,36640,39346,39218,42797,42942,43658,44242,44460,45394,46758,44687,45404,43705,43943,42668,44153
Korea,13083,12524,13808,14312,14193,14239,14253,14371,14677,15099,15228,15652,15290,15945,15452,16135
Latvia,1800,2045,1602,1712,1815,1751,1618,1562,1554,1471,1411,1385,1344,1279,1262,1259
Lithuania,2403,2604,2110,2354,2423,2481,2379,2197,2217,2168,2099,2065,1986,1988,1940,1940
Luxembourg,185,175,161,155,154,150,147,149,152,151,146,145,141,146,141,145
Mexico,13529,16954,19489,23351,23594,23988,25714,27144,27666,28874,29161,30365,30532,30830,31531,32813
Netherlands,7462,7572,7661,6873,6705,6544,6574,6486,6470,6399,6154,5878,5708,5908,5793,5943
New Zealand,932,957,855,803,805,818,818,804,786,834,755,744,691,694,652,662
Norway,1766,1652,1552,1314,1299,1306,1293,1278,1262,1349,1158,1119,1081,988,947,967
