,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,2261,2291,2220,2083,2078,2124,2132,2087,2043,2047,2000,1985,2031,2078,2134,2203
Austria,656,688,684,608,588,591,584,592,589,594,595,589,589,596,590,590
Belgium,2265,2142,2131,1925,1841,1841,1840,1810,1766,1770,1783,1769,1702,1734,1712,1722
Canada,1371,1414,1360,1260,1227,1231,1226,1201,1176,1161,1179,1168,1202,1237,1251,1272
Chile,235,237,248,271,270,274,269,284,293,290,294,300,301,308,315,327
Czech Republic,976,916,860,782,742,725,719,711,710,706,700,694,674,684,680,682
Denmark,493,484,401,346,342,336,318,311,300,283,275,270,262,260,267,272
Estonia,64,74,70,71,71,73,70,70,67,66,67,66,67,65,65,65
Finland,136,130,125,115,114,115,114,114,114,112,111,111,109,108,111,113
France,7485,7280,7157,6527,6406,6322,6363,6375,6270,6235,6235,6143,6020,6119,6113,6195
Germany,5540,5281,5016,4515,4410,4364,4358,4404,4407,4385,4402,4505,4447,4650,4754,4648
Greece,1617,1768,1890,1901,1848,1901,1840,1814,1793,1831,1866,1792,1767,1820,1880,1912
Hungary,1161,1226,1160,1148,1121,1123,1095,1105,1095,1083,1081,1055,1039,1086,1037,1023
Iceland,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13
Ireland,399,394,356,286,282,272,268,268,243,249,253,251,246,247,246,249
Israel,302,346,310,294,288,286,273,264,263,270,268,268,269,277,274,278
Italy,9626,10029,10246,9961,9896,9946,10022,10070,9904,10115,10188,9997,9890,10279,10072,10051
Japan,4945,4933,4691,4849,4814,4845,4873,4866,4962,5067,5034,5008,4962,4931,5043,5146
Korea,3037,2534,2350,2171,2108,2064,2006,1961,1953,1965,1986,1953,1935,1960,2001,2087
Latvia,154,192,165,183,193,185,171,164,164,156,155,155,152,149,148,147
Lithuania,146,180,164,195,202,207,200,186,188,186,185,187,181,184,184,183
Luxembourg,30,29,28,26,25,24,23,23,23,23,23,22,23,23,23,23
Mexico,6219,7594,8526,10183,10302,10582,11378,11990,12268,12390,12794,13315,13806,14165,14680,14887
Netherlands,1023,1043,1029,852,815,780,768,742,728,722,725,717,703,719,730,739
New Zealand,221,245,244,237,236,239,237,234,232,235,237,237,242,244,251,259
Norway,420,406,377,301,290,285,279,270,262,261,245,243,232,224,224,226
Poland,4804,5034,4684,4504,4495,4507,4460,4402,4247,4169,4164,4079,3935,4023,4010,3995
