Year,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,1995,1995,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
Domain,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine
Australia,0.7,0,0.9,0,1.7,0,3.3,0,5.5,4.7,6.5,5,7.5,5.1,7.5,5.1,9,5.4,9.2,5.4,9.3,5.4,9.5,5.5,9.7,5.6,10.6,5.6,10.8,5.6,11.3,6,11.7,6,12.7,6.1,14.4,40.6,16,40.7,17.5,40.7,18.8,40.7,19.3,40.7,19.3,40.7,19.3,40.7,19.3,40.7
Austria,0.1,..,0.9,..,1.8,..,8.2,..,19.2,..,20.8,..,25.7,..,26.3,..,26.7,..,26.8,..,27.2,..,27.3,..,27.4,..,27.5,..,27.5,..,27.8,..,27.8,..,27.8,..,28.3,..,28.4,..,28.4,..,28.5,..,28.5,..,28.5,..,28.5,..,28.5,..
Belgium,0,0,0,0,0.1,0,2.4,0,7.1,1.5,7.8,31.5,10.7,31.5,15.8,31.5,21.7,31.5,22.3,31.6,23.2,31.6,23.3,31.7,23.3,32.2,23.3,32.2,23.3,36.3,23.3,36.3,23.3,36.3,23.3,36.3,23.3,36.3,23.3,36.3,24.5,36.3,24.9,36.3,24.9,36.3,24.9,36.3,24.9,36.3,24.9,36.3
Canada,1.8,0,2.1,0.1,3.3,0.3,4.4,0.3,5.7,0.3,6.2,0.4,7.1,0.4,7.3,0.4,7.4,0.4,8,0.5,8.1,0.5,8.3,0.6,8.4,0.6,8.7,0.6,9.2,0.7,9.5,0.8,9.6,0.9,9.8,0.9,10,0.9,10.3,0.9,10.3,0.9,10.6,1,10.6,1,10.6,2.9,10.6,2.9,10.6,2.9
Chile,2.2,0,4.8,0,11.8,0.1,12.1,0.1,16.9,0.1,17.5,0.1,17.9,0.1,17.9,0.1,17.9,0.1,17.9,0.1,17.9,0.1,18.7,0.1,18.7,0.1,18.7,0.1,18.8,0.1,18.8,0.1,18.9,4.2,18.9,4.2,18.9,4.2,18.9,4.2,19.1,4.2,19.2,4.2,19.2,12.5,19.2,13.1,19.7,36.5,19.7,39.8
Czech Republic,0.1,..,0.7,..,5,..,11.7,..,13.4,..,15.4,..,15.6,..,15.6,..,15.6,..,15.6,..,18.1,..,21.1,..,21.1,..,21.3,..,21.3,..,21.5,..,21.5,..,21.5,..,21.5,..,21.5,..,21.5,..,21.9,..,21.9,..,21.9,..,21.9,..,21.9,..
Denmark,0.4,0,0.8,0,1.3,0,6,4.2,10,10.9,16.2,11,16.9,15.6,16.9,15.6,17,16.1,17,16.1,17,16.2,17,16.2,17.1,16.2,17.1,16.2,17.2,16.2,17.5,17.7,17.5,17.7,17.5,17.7,17.5,17.7,17.5,17.7,17.5,17.7,17.6,17.7,17.6,17.7,17.6,17.7,17.6,17.7,17.6,17.7
Estonia,0.8,0.7,5.3,1.5,6.4,1.6,8,2.4,9.4,2.4,10.8,2.4,12.1,2.8,12.1,2.8,12.4,2.8,12.7,2.8,18.7,18.1,18.8,18.1,19,18.1,19,18.1,19,18.1,19.1,18.2,19.2,18.6,19.2,19.3,19.2,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.4,19.3,19.4,19.3,19.4,19.3
