,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,"7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00","7,741,220.00"
Austria,"83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00","83,879.00"
Belgium,..,..,..,..,..,..,..,..,..,..,"30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00","30,530.00"
Canada,"9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00","9,984,670.00"
Chile,"756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,096.00","756,700.00"
Czech Republic,"127,900.00","127,900.00","127,900.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00","78,870.00"
Denmark,"43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","43,090.00","42,920.00","42,920.00","42,920.00","42,920.00","42,920.00"
Estonia,..,..,"45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,230.00","45,340.00","45,340.00","45,340.00","45,340.00"
Finland,"338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,150.00","338,440.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,420.00","338,446.00","338,450.00"
France,"549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,086.00","549,087.00","549,087.00","549,087.00","549,387.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00","549,087.00"
