,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,402,790,"1,025",242,"5,203",..,..,"19,178",976,"3,495","98,703"
Austria,101,242,14,20,84,..,84,"2,950","1,016","2,100","45,244"
Belgium,84,198,10,19,142,99,43,"1,818",521,838,"5,238"
Canada,221,674,45,47,"1,376","1,211",165,"5,185","1,373",857,"19,938"
Chile,175,498,131,65,..,..,..,..,"1,327","1,383","15,466"
Czech Republic,91,210,13,22,65,..,65,"3,557",863,"1,497","32,627"
Denmark,67,209,8,15,..,..,55,"2,909",..,676,"3,731"
Estonia,65,377,2,9,85,64,41,"1,928",389,469,627
Finland,75,248,5,7,..,..,69,"1,240",892,"1,594","23,950"
France,125,391,38,35,69,..,69,"1,018",..,..,"1,060"
Germany,93,264,13,22,186,93,93,"3,272","1,121","1,794","10,256"
Greece,115,440,66,23,665,511,154,"5,850",..,..,..
Hungary,87,435,15,18,81,..,81,"2,721",659,715,87
Iceland,4,75,..,..,..,..,5,438,..,..,..
Ireland,57,478,3,3,404,376,28,"1,050",596,..,"1,193"
Italy,126,267,56,44,641,544,97,"8,195","1,169","2,704","58,632"
Japan,160,700,100,77,"4,300","3,900",400,"7,000","1,800","1,600","5,300"
Korea,125,527,32,20,"1,280","1,078",202,"4,518",925,"1,133","26,541"
Latvia,62,233,7,13,87,42,45,"1,937",560,687,"17,100"
Lithuania,68,389,7,13,105,51,54,"1,334",470,250,"25,000"
Luxembourg,..,131,6,14,43,..,43,"1,323",..,..,149
Mexico,564,"1,123",908,399,"2,763","2,224",505,"23,296",..,..,..
Netherlands,53,168,7,16,97,57,40,"1,395",517,683,176
New Zealand,65,254,107,8,289,214,75,"5,038",..,..,"33,000"
Norway,89,264,6,6,312,285,47,"3,243","1,085","2,032","26,917"
Poland,112,451,11,18,138,50,70,"3,087",699,"1,683","34,662"
Portugal,158,393,49,20,65,..,..,"3,607",..,..,..
Slovak Republic,90,211,12,18,..,..,79,"3,619",909,"1,508","24,818"
Slovenia,89,380,24,21,273,188,85,"3,452",..,..,..
Spain,114,581,92,36,..,..,92,"7,066","1,100","2,426",..
Sweden,65,257,6,13,141,100,42,"1,561",..,..,..
Switzerland,93,205,19,19,70,..,70,"2,613",996,713,"3,154"
Turkey,161,460,..,141,716,480,236,"11,707",..,"1,000","20,636"
United Kingdom,99,590,15,15,622,..,..,"4,562",805,"2,875","36,242"
United States,453,831,345,270,..,..,882,"19,569",..,..,..
  Brazil,..,..,..,877,..,..,..,..,..,..,..
  Colombia,492,"1,921",537,803,"3,435","2,000","1,435","27,881","1,649","1,674","15,269"
  Costa Rica,250,912,241,201,..,"1,458",271,"9,500",..,"1,337","103,491"
  Russia,320,732,75,27,..,..,277,"11,400",..,..,..
