,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,109,133,61,29,48,13,35,"1,262",1,..,61
Austria,27,66,9,12,39,..,39,985,238,443,968
Belgium,18,55,4,6,29,14,15,423,140,495,566
Canada,52,88,26,16,88,52,36,"1,107",294,184,"1,265"
Chile,36,45,52,44,38,1,37,418,..,..,114
Czech Republic,15,99,7,16,25,..,25,908,251,560,"5,379"
Denmark,11,34,..,1,..,..,8,117,..,299,524
Estonia,2,38,1,4,6,2,5,181,131,113,19
Finland,7,87,1,1,..,..,12,197,183,268,"1,255"
France,17,107,9,8,15,..,15,528,..,..,219
Germany,32,94,8,8,49,21,28,896,459,927,"3,753"
Greece,29,62,9,6,63,14,49,255,..,..,..
Hungary,14,78,4,2,35,..,35,382,173,113,24
Iceland,..,33,..,..,..,..,..,52,..,..,..
Ireland,1,127,0,1,..,17,5,101,113,..,175
Italy,23,74,11,14,47,22,25,553,367,276,456
Japan,33,97,37,29,185,16,169,"1,786",241,61,65
Korea,14,55,5,5,26,..,26,224,..,..,204
Latvia,5,39,2,4,2,1,1,209,61,24,79
Lithuania,7,56,2,2,5,1,4,130,48,43,89
Luxembourg,..,25,2,4,12,..,12,354,..,..,23
Mexico,151,233,165,51,174,..,155,510,..,..,32
Netherlands,11,40,5,7,23,10,13,356,122,156,54
New Zealand,..,..,..,..,..,..,..,..,20,16,266
Norway,17,46,..,1,7,7,..,246,142,217,"1,215"
Poland,13,34,3,..,29,9,24,488,83,545,"1,080"
Portugal,31,111,10,2,22,..,..,..,..,..,..
Slovak Republic,20,51,5,8,..,..,12,527,311,357,"1,636"
Slovenia,34,105,18,17,50,10,40,334,..,..,..
Spain,19,114,34,14,..,..,44,"1,263",259,..,273
Sweden,14,52,2,5,20,19,2,270,..,..,..
Switzerland,34,71,15,13,24,..,24,670,401,257,"1,074"
Turkey,23,17,..,10,..,..,..,"1,282",..,..,89
United Kingdom,11,134,..,..,..,..,4,826,123,190,898
United States,78,101,62,109,..,..,280,"5,375",..,..,..
  Brazil,110,234,80,38,409,98,311,..,..,..,299
  Colombia,42,140,44,55,81,56,109,722,97,..,97
  Costa Rica,14,22,15,41,..,4,1,131,..,..,..
  Russia,40,56,9,5,..,..,34,201,..,..,..
