,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,109,133,61,29,48,13,35,"1,262",1,..,61
Austria,27,66,9,12,39,..,39,985,238,443,968
Belgium,18,55,4,6,29,14,15,423,140,495,566
Canada,52,88,26,16,88,52,36,"1,107",294,184,"1,265"
Chile,36,45,52,44,38,1,37,418,..,..,114
Denmark,11,34,..,1,..,..,8,117,..,..,..
Estonia,2,38,1,4,6,2,5,178,131,112,19
Finland,7,87,1,1,..,..,12,197,183,268,"1,255"
France,..,92,..,..,..,..,..,..,..,..,..
Germany,32,94,8,8,49,21,28,896,459,927,"3,753"
Greece,29,62,9,6,63,14,49,..,..,..,..
Hungary,14,78,4,2,..,..,..,382,173,113,24
Ireland,..,..,0,1,..,17,5,101,..,..,175
Israel,61,65,35,6,6,..,6,377,..,..,..
Latvia,5,39,2,3,2,1,1,209,61,24,79
Lithuania,7,56,2,2,5,1,4,130,48,43,89
Luxembourg,..,..,..,..,12,..,12,354,..,..,..
Mexico,84,82,109,43,144,..,135,275,..,..,13
Netherlands,11,40,5,7,23,10,13,356,122,156,54
New Zealand,10,65,37,1,22,..,22,328,20,16,266
Norway,17,46,..,1,7,7,..,246,142,217,"1,215"
Poland,13,34,3,..,29,9,24,428,83,545,"1,080"
Portugal,31,111,10,2,22,..,..,..,..,..,..
Slovak Republic,20,51,5,8,..,..,12,..,..,..,..
Slovenia,34,105,18,17,50,10,40,334,..,..,..
Spain,19,114,34,14,..,..,44,"1,263",259,..,273
Sweden,14,52,2,5,20,19,2,270,..,..,..
Switzerland,34,71,15,13,24,..,24,670,401,257,"1,074"
United Kingdom,11,134,..,..,42,..,1,826,123,190,898
United States,76,97,61,109,..,..,278,"5,366",..,..,..
