reviewid,genre
22703,electronic
22721,metal
22659,rock
22661,rock
22725,electronic
22722,
22704,rap
22694,electronic
22714,experimental
22724,rap
22715,experimental
22745,rap
22700,electronic
22720,rap
22699,rap
22665,
22666,experimental
22719,rap
22719,pop/r&b
22667,experimental
22691,rap
22691,pop/r&b
22702,metal
22718,rock
22706,experimental
22695,rock
22695,experimental
22713,electronic
22705,folk/country
22532,rock
22701,electronic
22707,jazz
22708,rap
22559,metal
22692,rap
22677,experimental
22469,rock
22469,rap
22711,rap
22678,rap
22664,jazz
22685,rap
22685,electronic
22690,
22689,rap
22697,
22681,electronic
22698,pop/r&b
22684,experimental
22693,experimental
22686,rap
22643,rock
22640,electronic
22688,electronic
22696,rap
22663,rock
22687,electronic
22662,global
22317,rock
22673,
22655,rap
22593,
22627,rock
22627,electronic
22555,electronic
22682,rap
22679,global
22657,electronic
22654,rock
22631,rock
22683,electronic
22635,experimental
22653,rock
22672,rap
22536,electronic
22676,pop/r&b
22671,rap
22675,rap
22680,folk/country
22641,pop/r&b
22645,pop/r&b
22393,rock
22393,experimental
22660,jazz
22660,electronic
22553,rock
22553,pop/r&b
22626,rock
22639,jazz
22658,rock
22638,experimental
22656,electronic
22669,rock
22634,pop/r&b
22632,electronic
22652,jazz
22674,experimental
22674,electronic
22670,rap
22646,rock
22535,electronic
22668,pop/r&b
22650,
22651,electronic
22596,experimental
22644,electronic
22649,electronic
22583,electronic
22595,pop/r&b
22467,pop/r&b
22613,rap
22620,experimental
22633,pop/r&b
22597,electronic
22561,rap
22648,pop/r&b
22531,rock
22531,experimental
22533,electronic
22637,experimental
22647,rap
22614,rock
22622,rock
22636,rock
22629,metal
22534,electronic
22565,rock
22395,folk/country
22592,electronic
22598,rock
22628,rock
22624,rock
22619,rock
22619,experimental
22642,rock
22603,pop/r&b
22594,
22630,rock
22552,electronic
22625,rock
22618,electronic
22602,rock
22621,rap
22607,rap
22611,pop/r&b
22616,electronic
22617,metal
22401,folk/country
22394,experimental
22457,electronic
22501,experimental
22612,rap
22525,folk/country
