reviewid,label
22703,virgin
22721,hathenter
22659,static shock
22659,fashionable idiots
22661,kill rock stars
22661,mississippi
22725,teklife
22722,rca
22704,age 101
22694,stroboscopic artefacts
22714,warp
22724,roc nation
22715,important
22745,self-released
22700,pan
22720,awge
22720,a country called earth
22699,babygrande
22665,soul jazz
22666,cejero
22719,self-released
22667,leaving
22691,radio killa
22702,profound lore
22718,self-released
22706,northern spy
22695,p.w. elverum & sun
22713,bedroom community
22705,mercury
22532,polyvinyl
22701,pan
22707,challenge
22708,top dawg entertainment
22559,rhino
22692,1017 brick squad
22677,milan
22469,republic
22469,wicked awesome
22711,don giovanni
22678,columbia
22664,eremite
22685,fool's gold
22690,brutal honest
22689,empire
22689,brockhampton
22697,pan
22681,mau5trap
22698,hyperdub
22684,erased tapes
22693,new amsterdam
22686,republic
22643,columbia legacy
22640,drumma
22688,numbers
22696,roc nation
22696,dreamville
22663,legacy
22687,mom & pop
22662,glitterbeat
22317,columbia
22673,atlantic
22655,self-released
22593,numero group
22627,delicacies
22555,kompakt
22682,epic
22679,transgressive
22657,subtext
22654,reprise
22631,ume
22631,a&m
22683,fool's gold
22635,bel-air glamour records
22653,polydor
22672,1017 brick squad
22536,white material
22676,domino
22671,glassnote
22675,self-released
22680,vanner
22680,sony
22641,input
22645,columbia
22393,secretly canadian
22393,chimera
22660,ahead of our time
22553,reveal
22626,interscope
22626,tiny evil
22639,strut
22658,mexican summer
22638,slipdisc
22656,technicolour
22669,concord bicycle
22634,atlantic
22632,rett i fletta
22652,nna tapes
22674,hyperdub
22670,def jam
22646,triple crown
22535,melody as truth
22668,republic
22650,pc music
22651,gold robot
22596,forced exposure
22644,because music
22644,ed banger
22649,modern love
22583,vague terrain
22595,time no place
22467,concord
22467,fish people
22613,heavy on the grind
22620,ecm new series
22633,bella union
22597,break world
22561,priority
22648,local action
22648,our dawn
22531,northern spy
22533,important
22637,new amsterdam
22647,self-released
22614,acony
22622,sideonedummy
22636,omnibus
22629,blackened recordings
22534,tresor
22565,legacy
22395,three lobed
22592,warp
22598,matador
22628,london london
22624,thrill jockey
22619,sister polygon
22642,columbia
22603,rca
22594,light in the attic
22630,drag city
22552,local action
22625,castle face
22618,warp
22602,sacred bones
22621,leaving
22607,epic
22611,carpark
22616,knives
22617,sumerian
22401,dust-to-digital
22394,non
22394,hospital
22457,!k7
22501,cantaloupe
22612,coke boys
22612,epic
22612,bad boy
22525,round
22525,ato
22610,virgin
22518,cantaloupe
22527,sony classical
22623,def jam
22563,kranky
22505,don giovanni
22465,northern spy
22506,sst
22581,milan
22519,we are the men
22608,editions mego
22573,mag mag
22609,warp
22605,dum shiny
22606,quarterstick
22502,earmusic
22582,rca
22604,new funk academy
22585,warp
22560,sacred bones
22589,columbia
22589,disruptor
22584,in the red
22392,light in the attic
22347,firehouse 12
22571,torn clean
22586,def jam
22586,yj
22587,domino
22550,fat possum
22550,fresh selects
22464,weird world
22570,capitol
22570,ato
22599,rca
22599,polo grounds
22599,a$ap worldwide
22558,joyful noise
22415,tiny engines
22600,polar
22566,music on vinyl
22520,cold spring
22574,closed sessions
22452,ato
22588,def jam
22588,umg
22455,terrible
22480,self-released
22543,blackest ever black
22579,nice life
22579,federal prism
22579,big deal
22576,quiet time
22569,stax
22556,daptone
22575,maybach
22554,legacy
22554,columbia
22528,honest jon's
22540,cooking vinyl
22540,party smasher inc.
22374,universal
22562,fat possum
22578,island
22414,kranky
22498,merge
22413,dial
22572,closed sessions
22462,rvng intl.
22557,20 buck spin
22485,columbia
22547,empire
22547,mood muzik
22537,arts & crafts
22441,grapefruit
22517,dark entries
22523,empire
22523,atlantic
22523,w.a.v.e. recordings
22551,labrador
22568,1080p
22483,motma
22567,rca
22567,columbia
22567,iso
22549,groundup
22549,verve
22545,atlantic
22546,diagonal
22526,polyvinyl
22526,wichita
22529,rough trade
22500,mixpak
22548,run for cover
22524,interscope
22524,streamline
22324,
22442,uovooo
22516,pi
22514,columbia
22514,sony
22542,self-released
22454,what's your rupture?
22436,thrill jockey
22377,triple crown
22291,sire
22378,rca
22541,american laundromat
22503,nuclear blast
22479,drag city
22479,god?
22522,atlantic
22515,mute
22530,sister polygon
22507,self-released
22521,rca
22512,tri angle
22508,mom & pop
22509,driftless
22463,mexican summer
22513,interscope
22412,xl
22504,profound lore
22389,stones throw
22499,sire
22495,peaceville
22461,ndagga
22494,jajulin
22440,paradise of bachelors
22496,temporary residence
22497,cuneiform
22458,bayonet
22308,reprise
22390,kompakt
22511,atlantic
22511,nice life
22493,cititrax
22339,drag city
22490,italians do it better
22404,light in the attic
22372,strut
22411,polydor
22348,omnivore
22391,customs
22410,aus
22492,sargent house
22488,nonesuch
22477,epitaph
22489,harvest
22438,hyperdub
22323,merge
22307,blue note
22486,so way out tha innerprize
22478,tommy boy
22474,reprise
22450,sub pop
22450,rocket
22449,woodsist
22460,relapse
22439,metal blade
22253,a&m
22318,big brother
22445,asthmatic kitty
22484,roc nation
22466,nuclear blast
22429,self-released
22451,jemp
22471,republic
22470,history always favours the winners
22437,play it again sam
22437,pixiesmusic
22475,kttf
22476,neurot
22472,pan
