reviewid,year
22703,1998
22721,2016
22659,2016
22661,2016
22725,2016
22722,2016
22704,2016
22694,2016
22714,2017
22724,2016
22715,2016
22745,2016
22700,2016
22720,2016
22699,2016
22665,2016
22666,2016
22719,2016
22667,2016
22691,2016
22702,2016
22718,2016
22706,2016
22695,2016
22713,2016
22705,2016
22532,2016
22701,2016
22707,2016
22708,2016
22559,1996
22559,2016
22692,2016
22677,2016
22469,2016
22711,2016
22678,2016
22664,2016
22685,2016
22690,2016
22689,2016
22697,2016
22681,2016
22698,2016
22684,2016
22693,2016
22686,2016
22643,1966
22643,2016
22640,2016
22688,2016
22696,2016
22663,2016
22687,2016
22662,2016
22317,1998
22673,2016
22655,2016
22593,2016
22627,2016
22555,2016
22682,2016
22679,2016
22657,2016
22654,2016
22631,1991
22631,2016
22683,2016
22635,2016
22653,2016
22672,2016
22536,2016
22676,2016
22671,2016
22675,2016
22680,2016
22641,2016
22645,2016
22393,1968
22393,2016
22660,2016
22553,2016
22626,2006
22639,2016
22658,2016
22638,2016
22656,2016
22669,1991
22669,2016
22634,2016
22632,2016
22652,2016
22674,2016
22670,2016
22646,2016
22535,2016
22668,2016
22650,2016
22651,2016
22596,2016
22644,2016
22649,2016
22583,2016
22595,2016
22467,2016
22613,2016
22620,2016
22633,2016
22597,2016
22561,1991
22648,2016
22531,2016
22533,2016
22637,2016
22647,2016
22614,2016
22622,2016
22636,2016
22629,2016
22534,2016
22565,2016
22395,2016
22592,1993
22592,2016
22598,2016
22628,2016
22624,2016
22619,2016
22642,1988
22603,2016
22594,2016
22630,2016
22552,2016
22625,2016
22618,2016
22602,2016
22621,2016
22607,2016
22611,2016
22616,2016
22617,2016
22401,2016
22394,2016
22457,2016
22501,2016
22612,2016
22525,1962
22525,2016
22610,2016
22518,2016
22527,2016
22623,2016
22563,2016
22505,2016
22465,2016
22506,1984
22581,2016
22519,2016
22608,2016
22573,2016
22609,2016
22605,2016
22606,2003
22606,2016
22502,2016
22582,2016
22604,2016
22585,2016
22560,2016
22589,2016
22584,2016
22392,2016
22347,2016
22571,2016
22586,2016
22587,2016
22550,2016
22464,2016
22570,2016
22599,2016
22558,2016
22415,2016
22600,1976
22566,1994
22566,2016
22520,2016
22574,2016
22452,2016
22588,2016
22455,2016
22480,2016
22543,2016
22579,2016
22576,2016
22569,2016
22556,2016
22575,2016
22554,2016
22528,2016
22540,2016
22374,1979
22374,2016
22562,2016
22578,2016
22414,2016
22498,2016
22413,2016
22572,2016
22462,1971
22462,2016
22557,2016
22485,1975
22547,2016
22537,2016
22441,2016
22517,2016
22523,2016
22551,2016
22568,2016
22483,2016
22567,2016
22549,2016
22545,2016
22546,2016
22526,2016
22529,2016
22500,2016
22548,2016
22524,2016
22324,2016
22442,2016
22516,2016
22514,2016
22542,2016
22454,2016
22436,2016
22377,2016
22291,1980
22378,2016
22541,2016
22503,2016
22479,2016
22522,2016
22515,2016
22530,2016
22507,2016
22521,2016
22512,2016
22508,2016
22509,2016
22463,2016
22513,2016
22412,2016
22504,2016
22389,2016
22499,2016
22495,2016
22461,2016
22494,2016
22440,1979
22440,2016
22496,2016
22497,2016
22458,2016
22308,1974
22390,2016
22511,2016
22493,2016
22339,2016
22490,2016
22404,1969
22404,2016
22372,2016
22411,2016
22348,1978
22348,2016
22391,2016
22410,2016
22492,2016
22488,2016
22477,2016
22489,2016
22438,2016
22323,2016
22307,2016
22486,2016
22478,2016
22474,2016
22450,2016
22449,2016
22460,2016
22439,2016
22253,1989
22318,1997
22318,2016
22445,2016
22484,2016
22466,2016
22429,2016
22451,2016
22471,2016
22470,2016
22437,2016
22475,2016
22476,2016
22472,2016
22482,2016
22376,2016
22459,2016
22375,1970
22375,2016
22314,2016
22362,2002
22362,2016
22435,2016
22373,2016
22447,2016
22468,2016
22446,2016
22299,2016
22434,2016
22292,1995
22368,2016
22430,2016
22346,2016
22388,2016
22420,2016
22298,1996
22298,2016
22304,2016
22425,2016
22444,2016
22426,2016
22424,2016
22315,2016
22431,2016
22443,2016
22432,2016
22427,2016
22423,2016
22387,2016
22146,2016
22386,2016
22416,2016
22134,1982
22134,2016
22422,2016
22370,2016
22400,2016
22045,2000
22419,2016
22428,2016
22406,2016
22369,2016
22313,2016
22405,2016
22302,2016
22399,2016
22409,2016
22421,2016
22385,2016
22384,2016
22418,2016
22326,2016
22366,2016
22367,2016
22402,1997
22402,2016
22382,2016
22383,2016
22408,2016
22407,2016
22312,2016
22381,2016
22357,2016
22061,1975
22293,2016
22310,2016
22398,2016
22403,2016
22397,2016
22359,2016
22365,2016
22358,2016
22300,2016
22335,2016
22379,2016
22360,2016
22336,2016
22283,1984
22283,2016
22303,2016
22306,2016
22396,2016
22343,1973
22343,2016
22305,2016
22238,2016
22350,2016
22356,2016
22112,2016
22309,2016
22345,2016
22255,1968
22327,1990
22327,2016
22288,2016
22364,2016
22380,2016
22355,2016
22289,2016
22290,2016
22330,2016
22361,2016
22284,2016
22354,2016
22351,2016
22363,2016
22281,2016
22342,1971
22342,2016
22352,2016
22322,2016
22287,2016
22344,2016
22286,2016
22212,1969
22353,2016
22349,2016
22337,2016
21989,2016
22282,2016
22332,2016
22333,2016
22277,2016
22329,2016
22338,2002
22338,2016
22341,2016
22271,1975
22271,2016
22319,2016
22331,2016
22325,2016
22320,2016
22296,2016
22243,2016
22328,2016
22279,2016
22256,2016
22340,2016
22251,2016
22257,2016
22132,1999
22254,2016
22252,2016
22260,2016
22321,2016
22280,2016
22231,2016
22311,2016
22295,2016
22285,2016
22249,2016
22258,2016
22211,2016
22223,2016
22276,2016
22237,2016
22273,2016
22274,2016
22241,2016
22233,2016
22248,2016
22236,2016
22242,2016
22239,2016
22174,1976
22267,2016
22270,2016
22230,2016
22169,2016
22246,2016
22272,2016
22227,2016
22228,1994
22228,2016
22245,2016
22210,2016
22264,2016
22263,2016
22265,2016
22261,2016
22234,2016
22226,2016
22262,2016
22193,2016
22244,2016
22217,2016
22232,2016
22020,2016
22215,2016
22225,2016
22220,2016
22131,1992
22221,2016
22247,1986
22247,2016
22198,2016
22214,2016
22185,2016
22207,2016
22189,2016
22240,2016
22150,2016
22197,2016
22213,2016
22208,2016
22202,2016
22219,2016
22206,2016
22151,2016
22137,2016
22200,2016
22216,2016
22209,2016
22170,2016
22139,2016
22218,2016
22182,2016
22203,2016
22044,1991
22186,1998
22186,2016
22204,2016
22188,2016
22205,2016
22191,2016
22199,2016
22195,1972
22195,2016
22148,2016
22196,2016
22201,2016
22187,2016
22179,2016
22149,2016
22152,2016
22192,2016
22165,2016
22163,2016
22143,2016
22183,2016
22178,2016
22168,2016
22145,2016
22142,1989
22142,2016
22184,2016
22162,2016
22107,1991
22159,1964
22159,2016
22118,2016
22194,2016
22133,2016
22173,2016
22113,2016
22190,2016
22172,2016
22180,2016
22136,2016
22181,2016
22130,2016
22177,2016
22147,2016
22175,2016
22129,2016
22157,2016
22128,2016
22160,2016
22098,2016
22167,2016
22171,2016
21886,2016
22154,2016
22166,2016
22043,1993
22161,2016
22123,2016
22144,2016
22176,2016
22119,2016
22121,2016
22126,2016
22158,2016
22156,2016
22135,2016
22106,2016
22140,2016
22120,2016
22110,2016
22138,2016
22127,2016
22109,2016
22117,2016
22125,2016
22155,2016
22101,2016
22103,2016
22116,2016
22124,2016
22087,2016
21924,1979
22073,2016
22141,2016
22062,2016
22108,2016
22075,2016
22111,2016
22122,2016
22105,2016
22094,2016
22090,2016
22064,2016
22102,2016
22093,2016
22100,2016
22095,2016
22114,2016
22057,2016
22097,2016
22088,2016
22099,2016
21895,2016
22085,2016
22071,2016
22059,2016
22104,2016
22035,1998
22060,2016
22092,2016
22016,2016
22026,2016
22065,2016
22091,2016
22086,2016
22015,2016
22072,2016
22074,2016
22089,2016
22027,2016
22080,2016
22083,2016
21883,2016
22076,1978
22076,2016
22067,2016
22084,2016
22069,2016
22056,2016
22054,1995
22079,2016
22081,2016
22063,2016
22082,2016
22077,2016
22078,2016
22066,2016
22022,2016
22052,2016
22070,2016
22029,2016
22021,1996
22021,2016
22030,2016
22013,2016
