Sex/Age/Marital Status,Applicants,Spouses,Children,All Refugees
Female,"10,082","8,688","14,565","33,335"
Male,"18,317","2,104","16,163","36,584"
Sex Unknown,1,-,-,1
Under 16 Years,679,-,"24,309","24,988"
16 to 20 Years,"1,354",176,"5,376","6,906"
21 Years and Over,"26,367","10,616","1,043","38,026"
Under 1 Year,4,-,235,239
1 to 4 Years,118,-,"7,571","7,689"
5 to 9 Years,132,-,"8,138","8,270"
10 to 14 Years,316,-,"7,060","7,376"
15 to 19 Years,998,64,"5,824","6,886"
20 to 24 Years,"4,063",950,"1,832","6,845"
25 to 29 Years,"5,305","2,056",48,"7,409"
30 to 34 Years,"4,634","2,151",4,"6,789"
35 to 39 Years,"3,502","1,679",11,"5,192"
40 to 44 Years,"2,619",D,D,"3,880"
45 to 49 Years,"1,960",D,D,"2,849"
50 to 54 Years,"1,442",D,D,"2,067"
55 to 59 Years,"1,025",436,-,"1,461"
60 to 64 Years,798,305,-,"1,103"
65 to 74 Years,"1,058",301,-,"1,359"
75 Years and Over,426,80,-,506
Married,"14,260","10,787",16,"25,063"
Single,D,D,"30,696","41,105"
Widowed,D,-,D,"1,932"
Divorced/Separated,"1,794",D,D,"1,810"
Marital Status Unknown,10,-,-,10
Total,"28,400","10,792","30,728","69,920"
